UniversalName,Strain,LatestSppName,Reservoir_of_this_strain,Genbank.accession,WholeGenome
Rabbit picobirnavirus,NA,Rabbit picobirnavirus,Orphan,NC_038919.1,1
Rabovirus A,NA,Rabovirus A,Rodent,NC_026314.1,1
Radi vesiculovirus,NA,Radi vesiculovirus,NA,NC_038287.1,1
Rat arterivirus 1,NA,Betaarterivirus chinrav 1,Orphan,NC_028963.1,1
Reptilian orthoreovirus,NA,Reptilian orthoreovirus,Reptile,NC_023813.1; NC_023814.1; NC_023819.1; NC_023816.1; NC_023815.1; NC_023820.1; NC_023822.1; NC_023821.1; NC_023817.1; NC_023818.1,1
Reticuloendotheliosis virus,NA,Reticuloendotheliosis virus,Galliformes,NC_006934.1,1
Rice black streaked dwarf virus,NA,Rice black streaked dwarf virus,Plant,NC_003728.1; NC_003729.1; NC_003730.1; NC_003731.1; NC_003732.1; NC_003733.1; NC_003734.1; NC_003735.1; NC_003736.1; NC_003737.1,1
Rice dwarf virus,NA,Rice dwarf virus,Plant,NC_003760.1; NC_003761.1; NC_003762.1; NC_003763.1; NC_003764.1; NC_003765.1; NC_003766.1; NC_003767.1; NC_003768.1; NC_003772.1; NC_003773.1; NC_003774.1,1
Rice gall dwarf virus,NA,Rice gall dwarf virus,Plant,NC_009245.1; NC_009241.1; NC_009248.1; NC_009242.1; NC_009249.1; NC_009243.1; NC_009250.1; NC_009244.1; NC_009251.1; NC_009252.1; NC_009246.1; NC_009247.1,1
Rice grassy stunt tenuivirus,NA,Rice grassy stunt tenuivirus,Plant,NC_002327.1; NC_002323.1; NC_002328.1; NC_002324.1; NC_002325.1; NC_002326.1,1
Rice hoja blanca tenuivirus,NA,Rice hoja blanca tenuivirus,Plant,NC_036597.1; NC_036598.1; NC_036602.1; NC_036599.1,1
Rice ragged stunt virus,NA,Rice ragged stunt virus,Plant,NC_003759.1; NC_003757.1; NC_003749.1; NC_003769.1; NC_003750.1; NC_003751.1; NC_003771.1; NC_003752.1; NC_003770.1; NC_003758.1,1
Rice stripe tenuivirus,NA,Rice stripe tenuivirus,Plant,NC_003755.1; NC_003754.1; NC_003776.1; NC_003753.1,1
Rio Chico almendravirus,NA,Rio Chico almendravirus,Orphan,NA,NA
Rio Segundo virus,NA,Rio Segundo virus,Orphan,NA,NA
Rochambeau curiovirus,NA,Rochambeau curiovirus,NA,NC_034534.1,1
Rockport orthohantavirus,NA,Rockport orthohantavirus,Orphan,NC_038695.1; NC_038694.1; NC_038696.1,1
Rosavirus A,NA,Rosavirus A,Orphan,NC_024070.1,1
Rotavirus D,NA,Rotavirus D,Galliformes,NC_014511.1; NC_014512.1; NC_014513.1; NC_014514.1; NC_014515.1; NC_014516.1; NC_014517.1; NC_014518.1; NC_014519.1; NC_014520.1; NC_014521.1,1
Rotavirus F,NA,Rotavirus F,Galliformes,NC_021625.1; NC_021626.1; NC_021631.1; NC_021630.1; NC_021632.1; NC_021635.1; NC_021633.1; NC_021628.1; NC_021627.1; NC_021629.1; NC_021634.1,1
Rotavirus G,NA,Rotavirus G,Galliformes,NC_021590.1; NC_021580.1; NC_021581.1; NC_021589.1; NC_021583.1; NC_021588.1; NC_021585.1; NC_021584.1; NC_021582.1; NC_021586.1; NC_021587.1,1
Rotavirus I,NA,Rotavirus I,Orphan,NC_026825.2; NC_026826.2; NC_026828.2; NC_026827.2; NC_026820.2; NC_026829.2; NC_026821.2; NC_026822.2; NC_026830.2; NC_026823.2; NC_026824.2,1
Rous sarcoma virus,NA,Rous sarcoma virus,NONE,NA,NA
Sakhalin orthonairovirus,NA,Sakhalin orthonairovirus,Charadriiformes,KU925494.1; KU925495.1; KU925496.1,1
Sangassou orthohantavirus,NA,Sangassou orthohantavirus,Orphan,NC_034517.1; NC_034516.1; NC_034526.1,1
Sapelovirus B,NA,Sapelovirus B,NonHumanPrimate,NC_004451.1,1
Saumarez Reef virus,NA,Saumarez Reef virus,Orphan,NC_033726.1,1
Sea trout perhabdovirus,NA,Sea trout perhabdovirus,Fish,NC_038277.1,0
Sena Madureira sripuvirus,NA,Sena Madureira sripuvirus,Reptile,NC_034529.1,1
Senecavirus A,NA,Senecavirus A,Artiodactyl,NC_011349.1,1
Shuangao insect herbevirus 1,NA,Insect shangavirus,Insect,NC_031221.1; NC_031222.1; NC_031223.1,1
Simian hemorrhagic encephalitis virus,NA,Epsilonarterivirus hemcep,Orphan,NC_038293.1,1
Simian virus 12,NA,Simian virus 12,NA,NC_007611.1,1
Snyder-Theilen feline sarcoma virus,NA,Snyder-Theilen feline sarcoma virus,NONE,NA,NA
Solwezi mammarenavirus,NA,Solwezi mammarenavirus,NA,NC_038366.1; NC_038367.1,1
Sonchus cytorhabdovirus 1,NA,Sonchus cytorhabdovirus 1,Plant,NA,NA
Southern rice black-streaked dwarf virus,NA,Southern rice black-streaked dwarf virus,Plant,NC_014712.1; NC_014708.1; NC_014713.1; NC_014709.1; NC_014714.1; NC_014710.1; NC_014715.1; NC_014711.1; NC_014716.1; NC_014717.1,1
Sowthistle yellow vein nucleorhabdovirus,NA,Sowthistle yellow vein nucleorhabdovirus,Plant,MH101753.1,0
Sripur sripuvirus,NA,Sripur sripuvirus,Reptile,NC_034542.1,1
St Croix River virus,NA,St Croix River virus,Insect,NC_005997.1; NC_005998.1; NC_005999.1; NC_006000.1; NC_006001.1; NC_006002.1; NC_006003.1; NC_006004.1; NC_006005.1; NC_006006.1,1
Strawberry crinkle cytorhabdovirus,NA,Strawberry crinkle cytorhabdovirus,Plant,MH129615.1,1
Sweetwater Branch tibrovirus,NA,Sweetwater Branch tibrovirus,NA,NC_034546.1,1
Tai herbevirus,NA,Tai herbevirus,Insect,NC_034459.1; NC_034461.1; NC_034457.1,1
Tellina virus,NA,Tellina virus,Bivalve,NC_038869.1; NC_038870.1,1
Tete orthobunyavirus,NA,Tete orthobunyavirus,Passeriformes,KM972719.1; KM972720.1; KM972721.1,1
Teviot rubulavirus,NA,Teviot pararubulavirus,Orphan,NC_039198.1,1
Thimiri orthobunyavirus,NA,Thimiri orthobunyavirus,NA,MH484336.1; MH484337.1; MH484338.1,1
Timboteua orthobunyavirus,NA,Timboteua orthobunyavirus,NA,NA,NA
Tomato chlorotic spot orthotospovirus,NA,Tomato chlorotic spot orthotospovirus,Plant,NC_035483.1; NC_035482.1; NC_035484.1,1
Torchivirus A,NA,Torchivirus A,Reptile,NC_025890.1,1
Trager duck spleen necrosis virus,NA,Trager duck spleen necrosis virus,NA,NA,NA
Trocara virus,NA,Trocara virus,Orphan,HM147991.1,0
Umatilla virus,NA,Umatilla virus,Orphan,NC_024503.1; NC_024504.1; NC_024505.1; NC_024506.1; NC_024507.1; NC_024508.1; NC_024509.1; NC_024510.1; NC_024499.1; NC_024500.1,1
Upolu virus,NA,Upolu virus,NA,KC506156.1; KC506157.1; KC506158.1; KC506159.1; KC506160.1; KC506161.1,1
UR2 sarcoma virus,NA,UR2 sarcoma virus,NONE,NA,NA
Urochloa hoja blanca tenuivirus,NA,Urochloa hoja blanca tenuivirus,Plant,NC_038757.1; NC_038758.1,0
Viper retrovirus,NA,Viper retrovirus,Reptile,NA,NA
Walleye dermal sarcoma virus,NA,Walleye dermal sarcoma virus,Fish,NC_001867.1,1
Walleye epidermal hyperplasia virus 1,NA,Walleye epidermal hyperplasia virus 1,Fish,AF133051.1,0
Walleye epidermal hyperplasia virus 2,NA,Walleye epidermal hyperplasia virus 2,Fish,AF133052.1,0
Waterbird 1 bornavirus,NA,Waterbird 1 orthobornavirus,Anseriformes,NC_029642.1,1
Watermelon bud necrosis orthotospovirus,NA,Watermelon bud necrosis orthotospovirus,Plant,NC_038289.1; NC_038290.1; NC_038288.1,1
Wheat American striate mosaic cytorhabdovirus,NA,Wheat American striate mosaic cytorhabdovirus,Plant,NA,NA
Witwatersrand virus,NA,Witwatersrand virus,Orphan,KP792690.1; KP792689.1; KP792688.1,1
Wobbly possum disease virus,NA,Kappaarterivirus wobum,Diprotodontia,NC_026811.2,1
Wound tumor virus,NA,Wound tumor virus,Plant,NC_038948.1; NC_038944.1; NC_038949.1; NC_038945.1; NC_038951.1; NC_038946.1; NC_038950.1; NC_038947.1; NC_038952.1,1
Wuhan fly phasivirus,NA,Fly wubeivirus,Insect,NC_031298.1; NC_031295.1; NC_031297.1,1
Wuhan ledantevirus,NA,Wuhan ledantevirus,Orphan,NC_031301.1,1
Wutai mosquito phasivirus,NA,Wutai mosquito phasivirus,Insect,NC_031317.1; NC_031318.1; NC_031319.1,1
Y73 sarcoma virus,NA,Y73 sarcoma virus,NONE,NA,NA
Yakeshi orthohantavirus,NA,Yakeshi orthohantavirus,Orphan,NC_038705.1; NC_038704.1,0
Yaounde virus,NA,Yaounde virus,NA,NC_034018.1,1
Yata ephemerovirus,NA,Yata ephemerovirus,Orphan,NC_028241.1,1
Yellowtail ascites virus,NA,Yellowtail ascites virus,Fish,NC_004168.1; NC_004176.1,1
Yichang insect goukovirus,NA,Yichang insect goukovirus,Insect,NC_031320.1; NC_031321.1; NC_031322.1,1
Yongjia ledantevirus,NA,Yongjia ledantevirus,Orphan,NC_031305.1,1
Yunnan orbivirus,NA,Yunnan orbivirus,Orphan,NC_007656.1; NC_007657.1; NC_007658.1; NC_007659.1; NC_007660.1; NC_007661.1; NC_007662.1; NC_007663.1; NC_007664.1; NC_007665.1,1
Zucchini lethal chlorosis orthotospovirus,NA,Zucchini lethal chlorosis orthotospovirus,Plant,NC_031762.1; NC_031758.1; NC_031759.1,1
Araguari virus,NA,Araguari virus,Orphan,KX670389.1; KX670391.1; KX670390.1; KX670393.1; KX670392.1; KX670394.1; KX670395.1,1
Bovine adenovirus E,NA,Bovine adenovirus E,NA,NC_020074.1,1
Bovine astrovirus,NA,Bovine astrovirus,NA,NC_024297.1,1
Chagres virus,NA,Chagres virus,NA,HM566147.1; HM566146.1; HM566148.1,1
Guinea pig adenovirus,NA,Guinea pig adenovirus,NA,NA,NA
Hepatitis GB virus B,NA,Hepatitis GB virus B,Orphan,NC_001655.1,1
Isla Vista virus,NA,Isla Vista virus,Rodent,U31535.1,0
Issyk-Kul virus,NA,Issyk-Kul virus,Chiroptera,KR537441.1; KR537442.1; KR537443.1,1
Mink enteric sapovirus,NA,Mink enteric sapovirus,Orphan,AY144337.1,0
Muleshoe virus,NA,Muleshoe virus,Orphan,KX066125.1; KX066124.1,0
Rabbit kidney vacuolating virus,NA,Rabbit kidney vacuolating virus,NA,NA,NA
Seal parapoxvirus,NA,Seal parapoxvirus,Carnivore,NC_035188.1,1
Tamdy virus,NA,Tamdy virus,Orphan,MK757580.1; MK757581.1; MK757582.1,1
Tataguine virus,NA,Tataguine virus,NA,MH603134.1; MH603136.1; MH603135.1,1
,,Insect inshuvirus,Insect,,NA
,,Kigluaik phantom orthophasmavirus,Insect,NC_034462.1; NC_034469.1; NC_034463.1,1
,,Nome phantom orthophasmavirus,Insect,NC_038745.1; NC_038747.1; NC_038746.1,1
,,Wuchang cockroach orthophasmavirus 1,Insect,NC_031293.1; NC_031294.1; NC_031296.1,1
,,Wuhan mosquito orthophasmavirus 1,Insect,NC_031307.1; NC_031308.1; NC_031310.1,1
,,Wuhan mosquito orthophasmavirus 2,Insect,NC_031312.1; NC_031309.1; NC_031311.1,1
